Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUb-010-StripPacking-10,05/13/2024,,SUb,StripPacking,,10,,0,1,0,1.8817765712738037,,39.0,39.0,0.0,7,20893.0
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUb-010-StripPacking-10,05/13/2024,,SUb,StripPacking,,10,,0,1,0,1.3686089515686035,,39.0,39.0,0.0,7,20893.0
RUb-010-StripPacking-10,05/13/2024,,RUb,StripPacking,,10,,0,1,0,1.0397112369537354,,39.0,39.0,0.0,7,12247.0
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUb-010-StripPacking-10,05/13/2024,,SUb,StripPacking,,10,,0,1,0,0.4530181884765625,,39.0,39.0,0.0,7,20893.0
RUb-010-StripPacking-10,05/13/2024,,RUb,StripPacking,,10,,0,1,0,0.30782079696655273,,39.0,39.0,0.0,7,12247.0
,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUb-010-StripPacking-15,05/13/2024,,SUb,StripPacking,,15,,0,1,0,10800.117557287216,,50.0,42.0,0.16,10,19755115.0
RUb-010-StripPacking-15,05/13/2024,,RUb,StripPacking,,15,,0,1,0,10800.090568780899,,50.0,46.0,0.08,10,10924834.0
,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUb-010-StripPacking-20,05/13/2024,,SUb,StripPacking,,20,,0,1,0,10800.948407888412,,77.0,48.0,0.37662337662337664,10,7997529.0
RUb-010-StripPacking-20,05/14/2024,,RUb,StripPacking,,20,,0,1,0,10800.199146032333,,78.0,51.0,0.34615384615384615,10,5297920.0
,,,,,,,,,,,,,,,,,
