***2D Rectangular Problem***
***Problem tests for the Open Dimension Problem (ODP/S)***
Input parameter file: C:\Users\jfravel\OneDrive\Research\Packing\InstancedModels\Data\2DCPG-Input.txt
***********************************************************************
Total number of instances 
Number of different large objects (j)
LargeObject[j].Width	LargeObject[j].Value
Number of different item types (i)
Item[i].Length	Item[i].Width	Item[i].Demand
***********************************************************************
4
1
100	100
35
9	11	0
16	13	0
6	11	0
16	13	0
6	13	0
6	6	0
15	8	0
15	8	0
7	16	0
11	9	0
10	10	0
9	10	0
19	12	0
14	8	0
14	9	0
16	12	0
13	8	0
14	19	0
20	7	0
13	10	0
16	10	0
22	8	0
9	14	0
8	16	0
10	17	0
16	9	0
7	7	0
8	19	0
17	7	0
16	15	0
6	20	0
18	17	0
12	9	0
15	6	0
5	13	0
1
100	100
35
11	13	0
7	9	0
13	16	0
21	14	0
6	14	0
10	7	0
13	8	0
9	15	0
10	9	0
14	8	0
7	10	0
11	9	0
9	16	0
7	12	0
7	16	0
12	11	0
21	10	0
19	9	0
10	7	0
9	10	0
12	8	0
12	10	0
15	9	0
11	15	0
10	10	0
13	10	0
12	10	0
12	14	0
15	8	0
17	13	0
14	11	0
7	10	0
13	11	0
12	15	0
8	5	0
1
100	100
35
16	9	0
6	12	0
10	8	0
8	11	0
16	7	0
16	8	0
12	16	0
14	8	0
7	9	0
6	8	0
11	14	0
14	8	0
7	12	0
16	20	0
14	13	0
18	11	0
17	7	0
10	8	0
15	16	0
8	8	0
11	17	0
22	19	0
14	10	0
15	12	0
7	13	0
11	16	0
10	12	0
8	6	0
9	10	0
18	8	0
20	5	0
15	8	0
6	10	0
15	14	0
10	7	0
1
100	100
35
16	16	0
16	12	0
19	8	0
13	7	0
11	11	0
16	10	0
11	15	0
9	13	0
13	9	0
24	11	0
13	12	0
17	12	0
10	13	0
9	12	0
12	18	0
17	19	0
5	21	0
12	12	0
11	13	0
12	17	0
7	22	0
7	14	0
23	10	0
8	6	0
15	13	0
6	11	0
15	9	0
6	8	0
19	8	0
6	10	0
11	14	0
11	12	0
19	13	0
8	9	0
11	13	0
