Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUsp-010-StripPacking-10,05/16/2024,,SUsp,StripPacking,,10,,0,1,0,0.5224189758300781,,39.0,39.0,0.0,5,11477.0
RUsp-010-StripPacking-10,05/16/2024,,RUsp,StripPacking,,10,,0,1,0,1.085899829864502,,50.0,50.0,0.0,10,6197.0
SBspL-010-StripPacking-10,05/16/2024,,SBspL,StripPacking,,10,,0,1,0,0.28118419647216797,,50.0,50.0,0.0,5,736.0
SBspM-010-StripPacking-10,05/16/2024,,SBspM,StripPacking,,10,,0,1,0,0.3120594024658203,,39.0,39.0,0.0,6,9773.0
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUsp-010-StripPacking-10,05/16/2024,,SUsp,StripPacking,,10,,0,1,0,0.48802947998046875,,39.0,39.0,0.0,5,11477.0
RUsp-010-StripPacking-10,05/16/2024,,RUsp,StripPacking,,10,,0,1,0,0.5348813533782959,,39.0,39.0,0.0,6,8701.0
SBspL-010-StripPacking-10,05/16/2024,,SBspL,StripPacking,,10,,0,1,0,0.2499401569366455,,50.0,50.0,0.0,5,736.0
SBspM-010-StripPacking-10,05/16/2024,,SBspM,StripPacking,,10,,0,1,0,0.3124265670776367,,39.0,39.0,0.0,6,9773.0
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUsp-010-StripPacking-10,05/16/2024,,SUsp,StripPacking,,10,,0,1,0,0.4686415195465088,,39.0,39.0,0.0,5,11477.0
RUsp-010-StripPacking-10,05/16/2024,,RUsp,StripPacking,,10,,0,1,0,0.0,,39.0,39.0,0.0,0,0.0
SBspL-010-StripPacking-10,05/16/2024,,SBspL,StripPacking,,10,,0,1,0,0.2755589485168457,,50.0,50.0,0.0,5,736.0
SBspM-010-StripPacking-10,05/16/2024,,SBspM,StripPacking,,10,,0,1,0,0.28118467330932617,,39.0,39.0,0.0,6,9773.0
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUsp-010-StripPacking-10,05/16/2024,,SUsp,StripPacking,,10,,0,1,0,0.4682745933532715,,39.0,39.0,0.0,5,11477.0
